#This table was taken from Attix appendix B.1 and B.2
#     	    	      	   	#e/gram. @ standard vals
#Symbol	Z	A_r	Z/A	NaZ/A_r	Density(g/cm^3)	K-edge	L1-edge	I
#				x10^-23			(keV)	(keV)	(eV)
H	1	1.008	0.9922	5.975	8.374e-5	0.014	-	19.2
He	2	4.003	0.4997	3.009	1.663e-4	0.025	-	41.8
Li	3	6.941	0.4322	2.603	0.533		0.055	-	40.0
Be	4	9.012	0.4438	2.673	1.848		0.111	-	63.7
B	5	10.81	0.4625	2.785	2.34		0.188	-	-
C	6	12.01	0.4995	3.008	2.1		0.284	-	78.0
N	7	14.01	0.4998	3.010	1.165e-3	0.402	-	82.0
O	8	16.00	0.5000	3.011	1.331e-3	0.532	0.024	95.0
F	9	19.00	0.4737	2.853	1.580e-3	0.685	0.31	-
Ne	10	20.18	0.4956	2.984	8.8385e-4	0.867	0.045	137
Na	11	22.99	0.4785	2.881	0.969		1.07	0.063	149
Mg	12	24.30	0.4937	2.973	1.735		1.30	0.089	156
Al	13	26.98	0.4818	2.901	2.69		1.56	0.118	166
Si	14	28.09	0.4985	3.002	2.32		1.84	0.149	173
P	15	30.97	0.4843	2.916	2.2		2.15	0.189	-
S	16	32.06	0.4991	3.005	2.0		2.47	0.229	-
Cl	17	35.45	0.4795	2.888	2.995e-3	2.82	0.270	-
Ar	18	39.95	0.4506	2.713	1.662e-3	3.20	0.320	188
K	19	39.10	0.4860	2.926	0.860		3.61	0.377	190
Ca	20	40.08	0.4990	3.005	1.55		4.04	0.438	191
Sc	21	44.96	0.4671	2.813	2.980		4.49	0.500	-
Ti	22	47.90	0.4593	2.766	4.54		4.97	0.564	233
V	23	50.94	0.4515	2.719	6.10		5.47	0.628	245
Cr	24	52.00	0.4616	2.780	7.18		5.99	0.695	-
Mn	25	54.94	0.4551	2.740	7.3		6.54	0.769	272
Fe	26	55.85	0.4656	2.804	7.86		7.11	0.846	286
Co	27	58.93	0.4581	2.759	8.9		7.71	0.926	297
Ni	28	58.71	0.4769	2.872	8.88		8.33	1.01	311
Cu	29	63.55	0.4554	2.748	8.94		8.98	1.10	322
Zn	30	65.38	0.4589	2.763	7.11		9.66	1.19	330
Ga	31	69.72	0.4446	2.678	5.88		10.38	1.30	-
Ge	32	72.59	0.4408	2.655	5.31		11.10	1.41	350
As	33	74.92	0.4405	2.652	5.73		11.87	1.53	348
Se	34	78.96	0.4306	2.593	4.5		12.66	1.65	-
Br	35	79.90	0.4380	2.638	7.07e-3		13.47	1.78	352
Kr	36	83.80	0.4296	2.587	3.478e-3	14.33	1.92	363
Rb	37	85.47	0.4329	2.607	1.529		15.20	2.07	-
Sr	38	87.62	0.4337	2.612	2.54		16.10	2.22	-
Y	39	88.91	0.4387	2.642	4.46		17.04	2.37	-
Zr	40	91.22	0.4385	2.641	6.49		18.00	2.53	-
Nb	41	92.91	0.4413	2.658	8.55		18.99	2.70	-
Mo	42	95.94	0.4378	2.636	10.20		20.00	2.87	-
Tc	43	98.91	0.4348	2.618	11.50		21.04	3.04	-
Ru	44	101.1	0.4353	2.622	12.41		22.12	3.22	-
Rh	45	102.9	0.4373	2.633	12.41		23.22	3.41	-
Pd	46	106.4	0.4323	2.604	12.00		24.55	3.60	-
Ag	47	107.9	0.4357	2.624	10.48		25.51	3.81	470
Cd	48	112.4	0.4270	2.571	8.65		26.71	4.02	469
In	49	114.8	0.4268	2.570	7.30		27.94	4.24	487
Sn	50	118.7	0.4213	2.537	7.31		29.20	4.46	488
Sb	51	121.7	0.4191	2.524	6.68		30.5	4.70	-
Te	52	127.6	0.4175	2.454	6.23		31.8	4.94	-
I	53	126.9	0.4176	2.515	4.92		33.2	5.19	-
Xe	54	131.3	0.4113	2.477	5.485e-3	34.6	5.45	482
Cs	55	132.9	0.4138	2.492	1.870		36.0	5.71	488
Ba	56	137.3	0.4078	2.456	3.5		37.4	5.99	-
La	57	138.9	0.4104	2.471	6.13 		38.9	6.27	-
Ce	58	140.1	0.4139	2.494	6.64		40.4	6.55	-
Pr	59	140.9	0.4187	2.522	6.7  		42.0	6.83	-
Nd	60	144.2	0.4160	2.505	6.9  		43.6	7.13	-
Pm	61	(145)	0.421	2.53	7.20 		45.2	7.43	-
Sm	62	150.4	0.4122	2.482	7.45 		46.8	7.74	-
Eu	63	152.0	0.4146	2.497	5.23 		48.5	8.05	-
Gd	64	157.2	0.4070	2.451	7.88 		50.2	8.38	591
Tb	65	158.9	0.4090	2.463	8.23 		52.0	8.71	-
Dy	66	162.5	0.4062	2.446	8.52 		53.8	9.05	-
Ho	67	164.9	0.4062	2.446	8.77 		55.6	9.39	-
Er	68	167.3	0.4066	2.448	9.04 		57.5	9.75	-
Tm	69	168.9	0.4084	2.460	9.29 		59.4	10.1	-
Yb	70	173.0	0.4045	2.436	6.75 		61.3	10.5	-
Lu	71	175.0	0.4058	2.444	9.81 		63.3	10.9	-
Hf	72	178.5	0.4034	2.429	13.29		65.4	11.3	-
Ta	73	180.9	0.4034	2.429	16.65		67.4	11.7	718
W	74	183.8	0.4025	2.424	19.3 		69.5	12.1	727
Re	75	186.2	0.4028	2.426	20.98		71.7	12.5	-
Os	76	190.2	0.3996	2.406	22.57		73.9	13.0	-
Ir	77	192.2	0.4006	2.412	22.39		76.1	13.4	-
Pt	78	195.1	0.3998	2.408	21.41		78.4	13.9	790
Au	79	197.0	0.4011	2.415	19.29		80.7	14.4	790
Hg	80	200.6	0.3988	2.402	13.52		83.1	14.8	800
Tl	81	204.4	0.3963	2.387	11.83		85.5	15.3	-
Pb	82	207.2	0.3958	2.383	11.33		88.0	15.9	823
Bi	83	209.0	0.3972	2.392	9.73 		90.5	16.4	-
Po	84	(210)	0.400	2.41	9.320		93.1	16.9	-
At	85	(210)	0.405	2.44	-		95.7	17.5	-
Rn	86	(222)	0.387	2.33	9.07e-3		98.4	18.0	794
Fr	87	(223)	0.390	2.35	-		101.1	18.6	-
Ra	88	226.0	0.3893	2.345	-		103.9	19.2	-
Ac	89	(227)	0.392	2.36	10.07		106.8	19.8	-
Th	90	232.0	0.3879	2.336	11.72		109.7	20.5	-
Pa	91	231.0	0.3939	2.372	15.37		112.6	21.1	-
U	92	238.0	0.3865	2.328	18.95		115.6	21.8	890
Np	93	237.0	0.3923	2.363	20.21		118.7	22.4	-
Pu	94	(244)	0.385	2.32	19.78		121.8	23.2	-
Am	95	(243)	0.391	2.35	13.65		125.0	23.8	-
Cm	96	(247)	0.389	2.34	13.51		128.2	24.5	-
Bk	97	(247)	0.393	2.36	14		131.6	25.3	-
Cf	98	(251)	0.390	2.35	-		136.0	26.1	-
Es	99	(254)	0.390	2.35	-		139.5	26.9	-
Fm	100	(257)	0.389	2.34	-		143.1	27.7	-
Md	101	(258)	0.391	2.36	-		146.8	28.5	-
No	102	(259)	0.394	2.37	-		150.5	29.4	-
Lr	103	(260)	0.396	2.39	-		154.4	30.2	-

#Compounds
#Material			Density		Elec	I (eV)
#				(g/cm^3)	(10^23 e/g)
# A-150 plastic			1.27		3.306	65.1
# Adipose tissue
# 	(Fat, ICRP)		0.92		3.363	63.2
# Air	      			1.205e-5	3.006	85.7
# Bone, cortical			1.85		3.139	106.4
# Calcium fluoride, CaF2		3.18		2.931	166
# Carbon dioxide, CO2		1.842e-3	3.010	85.0
# Cesium iodide, CsI		4.51		2.503	553
# Lithium fluoride, LiF		2.64		2.786	94
# Lucite, (C5h8O2)n 		1.19		3.248	74
# Muscle, skeletal (ICRP)		1.04		3.308	75.3
# Mylar, (C10H8O4)n		1.40		3.134	78.7
# Nylon, type 6
#        (C6H11NO)n		1.14		3.299	63.9
# Polycarbonate
# 	(C16H14O3)n		1.20		3.173	73.1
# Polyethylene (C2H4)n		0.94		3.435	57.4
# Polymide (C2H4)n		1.42		3.087	79.6
# Polypropylene (C3H5)n		0.90		3.372	59.2
# Polystryene (C8H8)n		1.06		3.238	68.7
# Polyvinyl Chloride
# 	  (C2H3Cl)n		1.30		3.083	108.2
# Pyrex (borisilicate glass)	2.23		2.993	134
# Silicon dioxide, SiO2		2.32		3.007	139.2
# Silver bromide, AgBr		6.47		2.629	487
# Sodium iodide, NaI		3.67		2.571	452
# Teflon, (C2F4)n			2.20		2.890	99.1
# TE gas (methane-based)		1.064e-3	3.312	61.2
# TE gas (propane-based)		1.826e-3	3.314	59.5
# TE liquid (no sucrose)		1.070		3.313	74.2
# Water, H2O    			0.9982		3.343	75.0
